Image URL: static/dataset\data54.jpg, Similarity: 100.00%
Image URL: static/dataset\data2.jpg, Similarity: 99.98%
Image URL: static/dataset\data47.jpg, Similarity: 99.98%
Image URL: static/dataset\data52.jpg, Similarity: 99.97%
Image URL: static/dataset\data29.jpg, Similarity: 99.97%
Image URL: static/dataset\data13.jpg, Similarity: 99.96%
Image URL: static/dataset\data59.jpg, Similarity: 99.93%
Image URL: static/dataset\data4.jpg, Similarity: 99.93%
Image URL: static/dataset\data22.jpg, Similarity: 99.93%
Image URL: static/dataset\data17.jpg, Similarity: 99.93%
Image URL: static/dataset\data18.jpg, Similarity: 99.92%
Image URL: static/dataset\data12.jpg, Similarity: 99.91%
Image URL: static/dataset\data25.jpg, Similarity: 99.91%
Image URL: static/dataset\data40.jpg, Similarity: 99.91%
Image URL: static/dataset\data10.jpg, Similarity: 99.90%
Image URL: static/dataset\data1.jpg, Similarity: 99.90%
Image URL: static/dataset\data27.jpg, Similarity: 99.89%
Image URL: static/dataset\data26.jpg, Similarity: 99.88%
Image URL: static/dataset\data32.jpg, Similarity: 99.85%
Image URL: static/dataset\data15.jpg, Similarity: 99.85%
Image URL: static/dataset\data50.jpg, Similarity: 99.83%
Image URL: static/dataset\data56.jpg, Similarity: 99.81%
Image URL: static/dataset\data49.jpg, Similarity: 99.78%
Image URL: static/dataset\data57.jpg, Similarity: 99.78%
Image URL: static/dataset\data20.jpg, Similarity: 99.77%
Image URL: static/dataset\data58.jpg, Similarity: 99.71%
Image URL: static/dataset\data14.jpg, Similarity: 99.68%
Image URL: static/dataset\data38.jpg, Similarity: 99.64%
Image URL: static/dataset\data11.jpg, Similarity: 99.64%
Image URL: static/dataset\data8.jpg, Similarity: 99.63%
Image URL: static/dataset\data21.jpg, Similarity: 99.61%
Image URL: static/dataset\data30.jpg, Similarity: 99.60%
Image URL: static/dataset\data41.jpg, Similarity: 99.58%
Image URL: static/dataset\data45.jpg, Similarity: 99.52%
Image URL: static/dataset\data53.jpg, Similarity: 99.50%
Image URL: static/dataset\data7.jpg, Similarity: 99.48%
Image URL: static/dataset\data3.jpg, Similarity: 99.46%
Image URL: static/dataset\data46.jpg, Similarity: 99.43%
Image URL: static/dataset\data39.jpg, Similarity: 99.41%
Image URL: static/dataset\data44.jpg, Similarity: 99.40%
Image URL: static/dataset\data34.jpg, Similarity: 99.39%
Image URL: static/dataset\data35.jpg, Similarity: 99.37%
Image URL: static/dataset\data61.jpg, Similarity: 99.33%
Image URL: static/dataset\data16.jpg, Similarity: 99.24%
Image URL: static/dataset\data42.jpg, Similarity: 99.19%
Image URL: static/dataset\data6.jpg, Similarity: 99.19%
Image URL: static/dataset\data60.jpg, Similarity: 99.12%
Image URL: static/dataset\data33.jpg, Similarity: 99.08%
Image URL: static/dataset\data5.jpg, Similarity: 99.08%
Image URL: static/dataset\data48.jpg, Similarity: 99.00%
Image URL: static/dataset\data9.jpg, Similarity: 98.81%
Image URL: static/dataset\data24.jpg, Similarity: 98.64%
Image URL: static/dataset\data55.jpg, Similarity: 98.23%
Image URL: static/dataset\data19.jpg, Similarity: 98.08%
Image URL: static/dataset\data23.jpg, Similarity: 98.04%
Image URL: static/dataset\data43.jpg, Similarity: 97.77%
Image URL: static/dataset\data37.jpg, Similarity: 97.73%
Image URL: static/dataset\data31.jpg, Similarity: 97.72%
Image URL: static/dataset\data28.jpg, Similarity: 97.67%
Image URL: static/dataset\data51.jpg, Similarity: 96.44%
Image URL: static/dataset\data36.jpg, Similarity: 92.03%
